scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
majority,H_2x2,1,2,704,352,0.06684061701523969,0.057815222400992815,0.9460610094103666,2,0.0652139464040546,0.0576997964789772,0.9531716709478746,0,False,False
majority,H_2x2,2,4,704,352,0.027958266448915303,0.021809722807922635,0.8885257957961651,3,0.029154863867977682,0.02337951949534312,0.8908811125671947,0,False,False
majority,H_2x2,4,8,704,352,0.03240943406656432,0.024232155096143473,0.8405216332507601,3,0.03341811618059143,0.025041302894981066,0.835658525492128,15,False,False
threshold_high,C_activity,1,2,704,352,0.13072167558255102,0.10262990914261531,,2,0.13396234558068165,0.1041129276158145,,36,True,False
threshold_high,C_activity,2,4,704,352,0.01750825792019649,0.012353323619239116,0.9727142673915837,3,0.052292647067567866,0.04327192890088524,0.9740486370059747,0,False,False
threshold_high,C_activity,4,8,704,352,0.0475047528601524,0.019972810574434775,0.9728137377133655,2,0.049593635801859846,0.034562835823251044,0.9726561464689569,0,False,False
threshold_high,C_frozen,1,2,704,352,0.13072167558255107,0.10262990914261531,,2,0.13396234558063547,0.10411292761575625,,36,True,False
threshold_high,C_frozen,2,4,704,352,0.01750825792019649,0.012353323619239116,0.9727142673915837,3,0.05229264706752769,0.04327192890082868,0.9740486370059747,0,False,False
threshold_high,C_frozen,4,8,704,352,0.047504752860152405,0.019972810574434785,0.9728137377133655,2,0.04959363580185993,0.03456283582325132,0.9726561464689569,0,False,False
threshold_high,H_2x2,1,2,704,352,0.06807799557770611,0.05870406445582783,0.9137077582399656,2,0.06671621117562236,0.057990331818106707,0.9207428941848204,0,False,False
threshold_high,H_2x2,2,4,704,352,0.026209576164240713,0.018099869837006902,0.9087672968568614,3,0.03766490178433708,0.02857732481582005,0.5150846464010957,203,False,False
threshold_high,H_2x2,4,8,704,352,0.03328579386166182,0.019942279886232518,0.8461061550508917,3,0.032371520739159707,0.020099331241070398,0.7937757417044699,26,False,False
threshold_low,C_activity,1,2,704,352,0.15379213281379292,0.11197412865612068,,2,0.13206306241960142,0.10305256036936469,,0,True,False
threshold_low,C_activity,2,4,704,352,0.06751315145495074,0.05407138874569994,0.8862376309952629,3,0.07748830441112362,0.06493013256954276,0.8336703949091016,0,False,False
threshold_low,C_activity,4,8,704,352,0.040328610059085876,0.03130203497652489,0.9640213386361942,3,0.056012894926342205,0.04486540672955875,0.9630803592372934,0,False,False
threshold_low,C_frozen,1,2,704,352,0.15379213281379292,0.11197412865612072,,2,0.1320630624195626,0.10305256036931552,,0,True,False
threshold_low,C_frozen,2,4,704,352,0.06751315145495074,0.05407138874569994,0.8862376309952629,3,0.07748830441107867,0.06493013256952872,0.8336703949091016,0,False,False
threshold_low,C_frozen,4,8,704,352,0.040328610059085876,0.03130203497652489,0.9640213386361942,3,0.05601289492633409,0.04486540672955264,0.9630803592372934,0,False,False
threshold_low,H_2x2,1,2,704,352,0.06684061701523969,0.057815222400992815,0.9460610094103666,2,0.0652139464040546,0.0576997964789772,0.9531716709478746,0,False,False
threshold_low,H_2x2,2,4,704,352,0.025287154855048267,0.020336525709292595,0.8943285742636892,3,0.026240864926472422,0.0210420296274168,0.8985112317291123,0,False,False
threshold_low,H_2x2,4,8,704,352,0.035030169191355064,0.02759889564666632,0.8510886543173041,3,0.03562793102726092,0.028027678217180028,0.8489778231308586,4,False,False
