N,trial,x0,R0,gamma0,collapse_time,collapsed
40.78947368421053,4,0.06716083091244208,0.8149915756631936,0.827324258560403,,False
40.78947368421053,5,0.02290568702629825,0.77764257607715,0.4746139746939699,,False
40.78947368421053,6,0.15982215966460822,0.5895154786090057,0.03359235732794801,11.0,True
40.78947368421053,7,0.10856653441433783,0.6678915750325869,0.21047929645567787,,False
40.78947368421053,8,0.13612314155446942,0.7618157874256628,0.5874235882790564,,False
40.78947368421053,9,0.17734673215887,0.6805998133454427,0.23578160192875686,,False
40.78947368421053,10,0.02199518047059412,0.8878157059707081,0.949476171296147,,False
40.78947368421053,11,0.08527382885769044,0.5017395796991676,0.04893110319214686,14.0,True
40.78947368421053,12,0.08320115840648903,0.8254198790150712,0.5763926565509516,,False
40.78947368421053,13,0.1738479407265652,0.548142969002007,0.010974809609471971,8.200000000000001,True
40.78947368421053,14,0.1574372576892342,0.9519205092780622,0.9604816731686181,,False
40.78947368421053,15,0.09516814210797248,0.8534221975095564,1.0041835713915346,,False
40.78947368421053,16,0.08064843120596883,0.734360717767186,0.4757928009863599,,False
40.78947368421053,17,0.13698175626444725,0.8806280715143466,0.951466743288438,,False
40.78947368421053,18,0.03673841548876403,0.9471853099829219,1.3853514298341092,,False
40.78947368421053,19,0.14769558973093327,0.5049243624384012,0.011241855189478607,8.200000000000001,True
40.78947368421053,20,0.1389760584172243,0.4627270520200705,0.053857354853900384,7.4,True
40.78947368421053,21,0.08034314885690892,0.845621893529953,0.9760638541172357,,False
40.78947368421053,22,0.08314078210401317,0.6255228687298163,0.04948991911374748,,False
40.78947368421053,23,0.11295829979968812,0.6750269876936383,0.22768985223141766,,False
40.78947368421053,24,0.16966101913063916,0.7072021411446281,0.26638676894708635,,False
40.78947368421053,25,0.08035295726128062,0.6667588404262152,0.14620028713632877,,False
40.78947368421053,26,0.04605944008872878,0.8265091403665225,0.6609502502072229,,False
40.78947368421053,27,0.1727837426969292,0.583978209947234,0.005440847780765228,9.4,True
40.78947368421053,28,0.14056073008004127,0.9345698285548285,0.9540563168602879,,False
40.78947368421053,29,0.05233409626327648,0.5521713741790979,0.028710676575158182,,False
44.21052631578947,0,0.09494666259948335,0.5926919119199938,0.0024845214344184517,11.8,True
44.21052631578947,1,0.09703861445220492,0.9776327911995846,1.1651415677038728,,False
44.21052631578947,2,0.09928104906057895,0.5108806407162888,0.013883995980227302,9.8,True
44.21052631578947,3,0.06716383193192683,0.8706419539339789,0.8617687719899711,,False
44.21052631578947,4,0.16426269657063014,0.9915127345379148,1.4331813252359746,,False
44.21052631578947,5,0.172479861242877,0.48950217727658635,0.007578644476029286,7.0,True
44.21052631578947,6,0.06871464423616526,0.7540940397354539,0.23588433869462974,,False
44.21052631578947,7,0.1553275132483428,0.7892158984925199,0.43927795673834164,,False
44.21052631578947,8,0.04644981173876658,0.5892905109201085,0.008817161374024194,,False
44.21052631578947,9,0.15630930524716777,0.77132532303367,0.4186359471926232,,False
44.21052631578947,10,0.06736525806560412,0.6541889503985524,0.02226702304345936,,False
44.21052631578947,11,0.14160239547904557,0.8747941432210125,0.5954654745597038,,False
44.21052631578947,12,0.17064621707809582,0.5163604355940274,0.04928671453329968,7.4,True
44.21052631578947,13,0.036063303303969486,0.5954968961332211,0.04655631948373764,,False
44.21052631578947,14,0.04871873157537399,0.6774623622204834,0.04720071741726803,,False
44.21052631578947,15,0.05924143568371354,0.8406348607347927,0.7281292996447457,,False
44.21052631578947,16,0.15993202237689147,0.6366271801551084,0.0291967716858298,9.4,True
44.21052631578947,17,0.05974502461850424,0.58463807585258,0.008868973456855828,22.6,True
44.21052631578947,18,0.17040304172920234,0.9383938557330689,1.08848045139402,,False
44.21052631578947,19,0.10282584340603665,0.7198343535315295,0.19607171794936296,,False
44.21052631578947,20,0.10585088217233429,0.6890096965837297,0.06885652409712134,28.200000000000003,True
44.21052631578947,21,0.040106216458965754,0.9737373437151258,1.0448083729537054,,False
44.21052631578947,22,0.17251288398483022,0.5399672827405605,0.03049291036219635,7.6000000000000005,True
44.21052631578947,23,0.053234760536246276,0.5892515333696309,0.0016530018318648334,,False
44.21052631578947,24,0.03903252971843381,0.9542666241960577,0.8858630719614022,,False
44.21052631578947,25,0.11730067390633465,0.7057577725941001,0.13635805512789081,,False
44.21052631578947,26,0.1051017746153709,0.5529814195384378,0.05437321441857672,10.200000000000001,True
44.21052631578947,27,0.15092925899261805,0.8578880480023334,0.6499155073414813,,False
44.21052631578947,28,0.04446033954021376,0.9563662220504623,0.9038950475396856,,False
44.21052631578947,29,0.028017070351509403,0.6383220222458458,0.04369513667727364,,False
47.63157894736842,0,0.11963339919811332,0.8629612216096728,0.5920600172430533,,False
47.63157894736842,1,0.05391273777288681,0.9580808238512492,0.7980519238573509,,False
47.63157894736842,2,0.12224218388226635,0.45126982492270806,0.0546352674126148,7.800000000000001,True
47.63157894736842,3,0.06494342175426482,0.48413470859708535,0.02520441228450827,10.200000000000001,True
47.63157894736842,4,0.04064480914912668,0.5337796905866666,0.034775554716661564,13.200000000000001,True
47.63157894736842,5,0.08286838265123733,0.9570188475852472,0.7369281203529655,,False
47.63157894736842,6,0.13618882054142417,0.7036046865851991,0.03629732156211034,9.600000000000001,True
47.63157894736842,7,0.11595125707455847,0.710031185017449,0.05225336020434405,10.8,True
47.63157894736842,8,0.07483418284079293,0.5474795256870999,0.03729517334839056,10.200000000000001,True
47.63157894736842,9,0.1553612098092654,0.47213955696695803,0.024729797863247433,7.0,True
47.63157894736842,10,0.1627980303499722,0.8622902404075772,0.647970936997603,,False
47.63157894736842,11,0.10502620985555901,0.8129976453406331,0.29606061763517055,,False
47.63157894736842,12,0.17160569594655878,0.6514845187060949,0.04061808919776458,8.0,True
47.63157894736842,13,0.0845024326590531,0.7590004115346496,0.17096326691703728,21.6,True
47.63157894736842,14,0.10142946428021668,0.9488974798002296,0.7592053675843875,,False
47.63157894736842,15,0.12353148770293203,0.6382993383150297,0.022448616752705722,9.0,True
