seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
147,grokked,embed.weight,gaussian_random,0.005,0,0.0,0.0,0.934,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.005,1,0.0,0.0,0.922,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.005,2,0.0,0.0,0.936,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.01,0,0.0,0.0,0.933,1.0,0.9325
147,grokked,embed.weight,gaussian_random,0.01,1,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.01,2,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.02,0,0.0,0.0,0.923,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.02,1,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.02,2,0.0,0.0,0.934,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.05,0,0.0,0.0,0.922,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.05,1,0.0,0.0,0.934,0.0,0.9325
147,grokked,embed.weight,gaussian_random,0.05,2,0.0,0.0,0.919,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.005,0,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.005,1,0.0,0.0,0.934,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.005,2,0.0,0.0,0.918,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.01,0,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.01,1,0.0,0.0,0.919,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.01,2,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.02,0,0.0,0.0,0.926,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.02,1,0.0,0.0,0.934,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.02,2,0.0,0.0,0.931,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.05,0,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.935,0.0,0.9325
147,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.918,0.0,0.9325
147,pregrok,embed.weight,gaussian_random,0.005,0,0.0,2000.0,0.527,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.005,1,0.0,2000.0,0.524,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.005,2,0.0,2000.0,0.541,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.01,0,0.0,2000.0,0.535,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.01,1,0.0,2000.0,0.534,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.01,2,0.0,2000.0,0.524,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.02,0,0.0,2000.0,0.546,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.02,1,0.0,2000.0,0.536,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.02,2,0.0,2000.0,0.526,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.05,0,0.0,2000.0,0.523,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.05,1,0.0,2000.0,0.544,1.0,0.526
147,pregrok,embed.weight,gaussian_random,0.05,2,0.0,2000.0,0.526,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.005,0,0.0,2000.0,0.528,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.005,1,0.0,2000.0,0.524,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.005,2,0.0,2000.0,0.537,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.01,0,0.0,2000.0,0.525,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.01,1,0.0,2000.0,0.525,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.01,2,0.0,2000.0,0.538,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.02,0,0.0,2000.0,0.535,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.02,1,0.0,2000.0,0.527,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.02,2,0.0,2000.0,0.525,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.05,0,0.0,2000.0,0.523,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.05,1,0.0,2000.0,0.546,1.0,0.526
147,pregrok,embed.weight,structured_rank1,0.05,2,0.0,2000.0,0.539,1.0,0.526
154,grokked,embed.weight,gaussian_random,0.005,0,0.0,100.0,0.877,1.0,0.897
154,grokked,embed.weight,gaussian_random,0.005,1,0.0,100.0,0.902,0.0,0.897
154,grokked,embed.weight,gaussian_random,0.005,2,0.0,200.0,0.897,1.0,0.897
154,grokked,embed.weight,gaussian_random,0.01,0,0.0,100.0,0.901,0.0,0.897
154,grokked,embed.weight,gaussian_random,0.01,1,0.0,100.0,0.902,0.0,0.897
154,grokked,embed.weight,gaussian_random,0.01,2,0.0,200.0,0.883,1.0,0.897
154,grokked,embed.weight,gaussian_random,0.02,0,0.0,100.0,0.902,0.0,0.897
154,grokked,embed.weight,gaussian_random,0.02,1,0.0,100.0,0.902,0.0,0.897
154,grokked,embed.weight,gaussian_random,0.02,2,0.0,2000.0,0.879,1.0,0.897
154,grokked,embed.weight,gaussian_random,0.05,0,0.0,300.0,0.903,0.0,0.897
154,grokked,embed.weight,gaussian_random,0.05,1,0.0,100.0,0.889,1.0,0.897
154,grokked,embed.weight,gaussian_random,0.05,2,0.0,800.0,0.9,1.0,0.897
154,grokked,embed.weight,structured_rank1,0.005,0,0.0,200.0,0.902,0.0,0.897
154,grokked,embed.weight,structured_rank1,0.005,1,0.0,100.0,0.887,1.0,0.897
154,grokked,embed.weight,structured_rank1,0.005,2,0.0,200.0,0.902,0.0,0.897
154,grokked,embed.weight,structured_rank1,0.01,0,0.0,100.0,0.903,0.0,0.897
154,grokked,embed.weight,structured_rank1,0.01,1,0.0,100.0,0.88,1.0,0.897
154,grokked,embed.weight,structured_rank1,0.01,2,0.0,200.0,0.903,0.0,0.897
154,grokked,embed.weight,structured_rank1,0.02,0,0.0,200.0,0.901,0.0,0.897
154,grokked,embed.weight,structured_rank1,0.02,1,0.0,100.0,0.889,1.0,0.897
154,grokked,embed.weight,structured_rank1,0.02,2,0.0,100.0,0.903,0.0,0.897
154,grokked,embed.weight,structured_rank1,0.05,0,0.0,300.0,0.899,1.0,0.897
154,grokked,embed.weight,structured_rank1,0.05,1,0.0,2000.0,0.882,1.0,0.897
154,grokked,embed.weight,structured_rank1,0.05,2,0.0,300.0,0.903,0.0,0.897
154,pregrok,embed.weight,gaussian_random,0.005,0,0.0,2000.0,0.513,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.005,1,0.0,2000.0,0.512,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.005,2,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.01,0,0.0,2000.0,0.512,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.01,1,0.0,2000.0,0.508,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.01,2,0.0,2000.0,0.524,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.02,0,0.0,2000.0,0.507,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.02,1,0.0,2000.0,0.529,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.02,2,0.0,2000.0,0.517,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.05,0,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.05,1,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,gaussian_random,0.05,2,0.0,2000.0,0.516,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.005,0,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.005,1,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.005,2,0.0,2000.0,0.517,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.01,0,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.01,1,0.0,2000.0,0.511,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.01,2,0.0,2000.0,0.524,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.02,0,0.0,2000.0,0.508,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.02,1,0.0,2000.0,0.512,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.02,2,0.0,2000.0,0.508,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.05,0,0.0,2000.0,0.526,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.05,1,0.0,2000.0,0.52,1.0,0.5135
154,pregrok,embed.weight,structured_rank1,0.05,2,0.0,2000.0,0.512,1.0,0.5135
158,grokked,embed.weight,gaussian_random,0.005,0,0.0,0.0,0.911,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.005,1,0.0,0.0,0.911,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.005,2,0.0,0.0,0.905,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.01,0,0.0,0.0,0.911,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.01,1,0.0,0.0,0.911,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.01,2,0.0,0.0,0.903,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.02,0,0.0,0.0,0.912,0.0,0.906
158,grokked,embed.weight,gaussian_random,0.02,1,0.0,0.0,0.904,0.0,0.906
