seed,group,matrix,perturb_type,scale_rel,perturb_seed_idx,t50,t90,auc,unrecovered,baseline_acc
141,pregrok,embed.weight,structured_rank1,0.02,2,0.0,2000.0,0.496,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.05,0,0.0,2000.0,0.5,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.05,1,0.0,2000.0,0.496,1.0,0.5025
141,pregrok,embed.weight,structured_rank1,0.05,2,0.0,2000.0,0.501,1.0,0.5025
142,grokked,embed.weight,gaussian_random,0.005,0,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.005,1,0.0,0.0,0.924,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.005,2,0.0,0.0,0.922,1.0,0.92
142,grokked,embed.weight,gaussian_random,0.01,0,0.0,0.0,0.925,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.01,1,0.0,0.0,0.927,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.01,2,0.0,0.0,0.916,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.02,0,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.02,1,0.0,0.0,0.913,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.02,2,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.05,0,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.05,1,0.0,0.0,0.911,0.0,0.92
142,grokked,embed.weight,gaussian_random,0.05,2,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.005,0,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.005,1,0.0,0.0,0.915,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.005,2,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.01,0,0.0,0.0,0.917,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.01,1,0.0,0.0,0.926,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.01,2,0.0,0.0,0.927,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.02,0,0.0,0.0,0.914,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.02,1,0.0,0.0,0.925,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.02,2,0.0,0.0,0.922,1.0,0.92
142,grokked,embed.weight,structured_rank1,0.05,0,0.0,0.0,0.924,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.05,1,0.0,0.0,0.928,0.0,0.92
142,grokked,embed.weight,structured_rank1,0.05,2,0.0,0.0,0.922,0.0,0.92
142,pregrok,embed.weight,gaussian_random,0.005,0,200.0,2000.0,0.501,1.0,0.498
142,pregrok,embed.weight,gaussian_random,0.005,1,100.0,2000.0,0.503,1.0,0.498
