scheme,estimator,b_from,b_to,n_train,n_test,isotonic_rmse_test,isotonic_mae_test,isotonic_spearman_test,poly_degree_selected,poly_rmse_test,poly_mae_test,poly_spearman_test,monotonicity_violations_poly,saturated_from,saturated_to
threshold_high,H_2x2,1,2,704,352,0.0588631519056639,0.052808030036145225,0.9108288007582325,2,0.0573595750499349,0.05153699726554359,0.9230245720321957,0,False,False
threshold_high,H_2x2,2,4,704,352,0.027905713988307886,0.01862319642317087,0.8514484019526942,2,0.03626812181470448,0.025793155561755845,0.8551046855542679,0,False,False
threshold_high,H_2x2,4,8,704,352,0.02958600407686713,0.017985603232019455,0.8025435386594307,3,0.02960442209095345,0.01785449269382257,0.734894953898466,24,False,False
threshold_low,C_activity,1,2,704,352,0.09454220920797538,0.07135695714503348,,3,0.0975495632332508,0.07690408935417539,,58,True,False
threshold_low,C_activity,2,4,704,352,0.04547435649047132,0.03243945661530833,0.8070983031134558,3,0.05494879388047762,0.044823923454085125,0.7849438831949378,0,False,False
threshold_low,C_activity,4,8,704,352,0.03896026913391783,0.02722101094844849,0.9408727895277393,3,0.04233123732190822,0.02988710367529286,0.9401952240753475,0,False,False
threshold_low,C_frozen,1,2,704,352,0.09454220920797538,0.07135695714503347,,3,0.09754956322440601,0.07690408934805916,,58,True,False
threshold_low,C_frozen,2,4,704,352,0.04547435649047131,0.03243945661530834,0.8070983031134558,3,0.05494879388050942,0.04482392345409219,0.7849438831949378,0,False,False
threshold_low,C_frozen,4,8,704,352,0.03896026913391783,0.02722101094844849,0.9408727895277393,3,0.04233123732190972,0.029887103675293236,0.9401952240753475,0,False,False
threshold_low,H_2x2,1,2,704,352,0.057833955729978355,0.05100528703653384,0.935813416102449,2,0.05711500538326396,0.05105688630422023,0.940744886212308,0,False,False
threshold_low,H_2x2,2,4,704,352,0.026140284466938432,0.020647086165402506,0.8664565725077558,3,0.025278240781145336,0.019683953049855846,0.8683882292103184,0,False,False
threshold_low,H_2x2,4,8,704,352,0.03648428166848455,0.0290468985997297,0.8056071387520369,3,0.035953029791956435,0.029007027862945886,0.8054175943942813,2,False,False
