seed,t,scheme,b,estimator,value
14200,560,average,8,C_frozen,0.0
14200,560,average,8,C_activity,1.0
14200,560,average,8,H_2x2,0.8202880827322099
14200,580,majority,1,C_frozen,0.0
14200,580,majority,1,C_activity,1.0
14200,580,majority,1,H_2x2,0.7583097051054344
14200,580,majority,2,C_frozen,0.0
14200,580,majority,2,C_activity,1.0
14200,580,majority,2,H_2x2,0.8478272317264574
14200,580,majority,4,C_frozen,0.0
14200,580,majority,4,C_activity,1.0
14200,580,majority,4,H_2x2,0.8852460316702867
14200,580,majority,8,C_frozen,0.0
14200,580,majority,8,C_activity,1.0
14200,580,majority,8,H_2x2,0.8668194825561704
14200,580,threshold_low,1,C_frozen,0.0
14200,580,threshold_low,1,C_activity,1.0
14200,580,threshold_low,1,H_2x2,0.7583097051054344
14200,580,threshold_low,2,C_frozen,0.0
14200,580,threshold_low,2,C_activity,1.0
14200,580,threshold_low,2,H_2x2,0.8478272317264574
14200,580,threshold_low,4,C_frozen,0.0
14200,580,threshold_low,4,C_activity,1.0
14200,580,threshold_low,4,H_2x2,0.8847944874151805
14200,580,threshold_low,8,C_frozen,0.0
14200,580,threshold_low,8,C_activity,1.0
14200,580,threshold_low,8,H_2x2,0.8768631114348708
14200,580,threshold_high,1,C_frozen,0.0
14200,580,threshold_high,1,C_activity,1.0
14200,580,threshold_high,1,H_2x2,0.7583097051054344
14200,580,threshold_high,2,C_frozen,0.0
14200,580,threshold_high,2,C_activity,1.0
14200,580,threshold_high,2,H_2x2,0.7870434254617065
14200,580,threshold_high,4,C_frozen,0.0
14200,580,threshold_high,4,C_activity,1.0
14200,580,threshold_high,4,H_2x2,0.8039181219560423
14200,580,threshold_high,8,C_frozen,0.0
14200,580,threshold_high,8,C_activity,1.0
14200,580,threshold_high,8,H_2x2,0.7988279808761181
14200,580,average,1,C_frozen,0.0
14200,580,average,1,C_activity,1.0
14200,580,average,1,H_2x2,0.7583097051054344
14200,580,average,2,C_frozen,0.0
14200,580,average,2,C_activity,1.0
14200,580,average,2,H_2x2,0.8478272317264574
14200,580,average,4,C_frozen,0.0
14200,580,average,4,C_activity,1.0
14200,580,average,4,H_2x2,0.8852460316702867
14200,580,average,8,C_frozen,0.0
14200,580,average,8,C_activity,1.0
14200,580,average,8,H_2x2,0.8668194825561704
14200,600,majority,1,C_frozen,0.0
14200,600,majority,1,C_activity,1.0
14200,600,majority,1,H_2x2,0.7543169208043081
14200,600,majority,2,C_frozen,0.0
14200,600,majority,2,C_activity,1.0
14200,600,majority,2,H_2x2,0.7916321801597492
14200,600,majority,4,C_frozen,0.0
14200,600,majority,4,C_activity,1.0
14200,600,majority,4,H_2x2,0.864398249001743
14200,600,majority,8,C_frozen,0.0
14200,600,majority,8,C_activity,1.0
14200,600,majority,8,H_2x2,0.8780987583271214
14200,600,threshold_low,1,C_frozen,0.0
14200,600,threshold_low,1,C_activity,1.0
14200,600,threshold_low,1,H_2x2,0.7543169208043081
14200,600,threshold_low,2,C_frozen,0.0
14200,600,threshold_low,2,C_activity,1.0
14200,600,threshold_low,2,H_2x2,0.7916321801597492
14200,600,threshold_low,4,C_frozen,0.0
14200,600,threshold_low,4,C_activity,1.0
14200,600,threshold_low,4,H_2x2,0.855543252888816
14200,600,threshold_low,8,C_frozen,0.0
14200,600,threshold_low,8,C_activity,1.0
14200,600,threshold_low,8,H_2x2,0.8937020964801439
14200,600,threshold_high,1,C_frozen,0.0
14200,600,threshold_high,1,C_activity,1.0
14200,600,threshold_high,1,H_2x2,0.7543169208043081
14200,600,threshold_high,2,C_frozen,0.0
14200,600,threshold_high,2,C_activity,1.0
14200,600,threshold_high,2,H_2x2,0.7614654930693929
14200,600,threshold_high,4,C_frozen,0.0
14200,600,threshold_high,4,C_activity,1.0
14200,600,threshold_high,4,H_2x2,0.8136172267261048
14200,600,threshold_high,8,C_frozen,0.0
14200,600,threshold_high,8,C_activity,1.0
14200,600,threshold_high,8,H_2x2,0.8164697880368774
14200,600,average,1,C_frozen,0.0
14200,600,average,1,C_activity,1.0
14200,600,average,1,H_2x2,0.7543169208043081
14200,600,average,2,C_frozen,0.0
14200,600,average,2,C_activity,1.0
14200,600,average,2,H_2x2,0.7916321801597492
14200,600,average,4,C_frozen,0.0
14200,600,average,4,C_activity,1.0
14200,600,average,4,H_2x2,0.864398249001743
14200,600,average,8,C_frozen,0.0
14200,600,average,8,C_activity,1.0
14200,600,average,8,H_2x2,0.8780987583271214
14200,620,majority,1,C_frozen,0.0
14200,620,majority,1,C_activity,1.0
14200,620,majority,1,H_2x2,0.7793389292063271
14200,620,majority,2,C_frozen,0.0
14200,620,majority,2,C_activity,1.0
14200,620,majority,2,H_2x2,0.836749070927
14200,620,majority,4,C_frozen,0.0
14200,620,majority,4,C_activity,1.0
14200,620,majority,4,H_2x2,0.8812499302227905
14200,620,majority,8,C_frozen,0.0
14200,620,majority,8,C_activity,1.0
14200,620,majority,8,H_2x2,0.9058819825561707
14200,620,threshold_low,1,C_frozen,0.0
14200,620,threshold_low,1,C_activity,1.0
14200,620,threshold_low,1,H_2x2,0.7793389292063271
14200,620,threshold_low,2,C_frozen,0.0
